unique_key,created_date,closed_date,agency,complaint_type,descriptor,borough,status,incident_zip,latitude,longitude
32310039,12/31/2015 10:01:13 PM,01/01/2016 04:07:17 AM,NYPD,Noise - Commercial,Loud Talking,MANHATTAN,Closed,10028,40.776679825509554,-73.9510438059397
32307564,12/31/2015 09:58:17 PM,01/01/2016 04:19:50 AM,NYPD,Blocked Driveway,Partial Access,BROOKLYN,Closed,11214,40.59203521524189,-73.9885428238299
32308418,12/31/2015 09:55:30 PM,12/31/2015 11:17:22 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11373,40.732357999496536,-73.87512364965362
32305874,12/31/2015 09:54:02 PM,12/31/2015 10:25:34 PM,NYPD,Illegal Parking,Posted Parking Sign Violation,MANHATTAN,Closed,10017,40.75237897334723,-73.97034248208685
32307974,12/31/2015 09:47:57 PM,01/01/2016 02:09:49 AM,NYPD,Illegal Parking,Double Parked Blocking Traffic,BROOKLYN,Closed,11207,40.65114990776361,-73.89000444066276
32307366,12/31/2015 09:44:43 PM,12/31/2015 11:24:05 PM,NYPD,Noise - House of Worship,Loud Music/Party,QUEENS,Closed,11369,40.758734268604165,-73.86009781919178
32305141,12/31/2015 09:44:24 PM,12/31/2015 11:53:31 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11223,40.60634630608751,-73.96181082886835
32308708,12/31/2015 09:43:01 PM,01/01/2016 07:44:18 AM,NYPD,Illegal Parking,Blocked Hydrant,BROOKLYN,Closed,11220,40.63846031091506,-74.028976340203
32305102,12/31/2015 09:41:42 PM,01/01/2016 02:09:45 AM,NYPD,Traffic,Congestion/Gridlock,BROOKLYN,Closed,11207,40.65114990776361,-73.89000444066276
32308058,12/31/2015 09:38:51 PM,12/31/2015 10:41:38 PM,NYPD,Noise - Commercial,Loud Music/Party,QUEENS,Closed,11414,40.64941050559128,-73.83547218493419
32306603,12/31/2015 09:34:42 PM,12/31/2015 09:38:53 PM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11208,40.6803260972469,-73.88090678528529
32305080,12/31/2015 09:34:16 PM,12/31/2015 11:21:46 PM,NYPD,Illegal Parking,Blocked Hydrant,STATEN ISLAND,Closed,10302,40.63291782283707,-74.13200762396957
32307744,12/31/2015 09:33:19 PM,12/31/2015 11:15:08 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11420,40.67764380184158,-73.82283823627309
32305555,12/31/2015 09:31:44 PM,12/31/2015 09:38:52 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11208,40.680361786727204,-73.8809139323362
32307027,12/31/2015 09:30:29 PM,12/31/2015 09:59:07 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11385,40.7030617464669,-73.8842888523775
32308473,12/31/2015 09:26:26 PM,01/01/2016 07:43:03 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11354,40.76477679551745,-73.83044009190718
32309137,12/31/2015 09:24:12 PM,12/31/2015 10:56:37 PM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10473,40.82261885937454,-73.87779416455419
32309935,12/31/2015 09:23:48 PM,12/31/2015 11:19:38 PM,NYPD,Blocked Driveway,No Access,MANHATTAN,Closed,10029,40.78707990100528,-73.95169339159644
32309522,12/31/2015 09:22:54 PM,12/31/2015 10:33:00 PM,NYPD,Animal Abuse,Neglected,QUEENS,Closed,11415,40.7062899194167,-73.82391267439831
32309866,12/31/2015 09:21:18 PM,01/01/2016 07:44:44 AM,NYPD,Blocked Driveway,No Access,STATEN ISLAND,Closed,10301,40.60899844481273,-74.10069176384754
32308293,12/31/2015 09:18:10 PM,01/01/2016 02:56:47 AM,NYPD,Vending,In Prohibited Area,MANHATTAN,Closed,10011,40.744870116326716,-74.00830042618357
32307034,12/31/2015 09:13:34 PM,01/01/2016 01:05:06 AM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11103,40.76088568556945,-73.91614552481562
32308422,12/31/2015 09:12:43 PM,12/31/2015 10:50:08 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11236,40.63087112871723,-73.9018151518344
32310198,12/31/2015 09:11:12 PM,12/31/2015 10:54:27 PM,NYPD,Illegal Parking,Commercial Overnight Parking,BRONX,Closed,10465,40.84490948462319,-73.81629903769796
32309185,12/31/2015 09:11:02 PM,12/31/2015 10:57:44 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11373,40.741627642950675,-73.87069643306084
32305833,12/31/2015 09:10:41 PM,12/31/2015 10:46:56 PM,NYPD,Illegal Parking,Commercial Overnight Parking,BROOKLYN,Closed,11230,40.625513216361796,-73.97131387253023
32305578,12/31/2015 09:09:28 PM,12/31/2015 11:05:20 PM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11377,40.749130448396,-73.90282825565436
32307010,12/31/2015 09:09:00 PM,01/01/2016 07:43:33 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10461,40.84815006920489,-73.84980003291898
32309186,12/31/2015 09:08:07 PM,12/31/2015 10:57:42 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11373,40.741627642950675,-73.87069643306084
32306497,12/31/2015 09:07:59 PM,01/01/2016 01:05:03 AM,NYPD,Derelict Vehicle,With License Plate,BROOKLYN,Closed,11234,40.61488647699392,-73.91704569709361
32308687,12/31/2015 09:04:05 PM,12/31/2015 09:58:03 PM,NYPD,Illegal Parking,Blocked Hydrant,BRONX,Closed,10457,40.85646374369113,-73.89735025187152
32309868,12/31/2015 09:01:45 PM,12/31/2015 09:46:16 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11212,40.667255237192734,-73.92237317316912
